SolutionCode,ZnBr2saltM,ZnCl2saltM,ZnM,BrM,ClM,XM,pH,ConductivitymS/cm,ZnBr42,ZnBr3H2O,ZnBr2H2O2aq,ZnCl42,ZnCl3H2O,ZnCl2H2O2aq,ZnBrCl32,ZnBr2ClH2O,Br,Cl
A1,2,0,2,4,0,4,3.6,120.6,21,60,18,0,0,0,0,0,0.855443724,0
A2,2.5,0,2.5,5,0,5,3.22,122.6,29,53,18,0,0,0,0,0,0.921498817,0
A3,3,0,3,6,0,6,2.91,118.8,34,50,16,0,0,0,0,0,0.979238615,0
A4,3.5,0,3.5,7,0,7,2.77,115.8,37,48,16,0,0,0,0,0,1.030870537,0
A5,4,0,4,8,0,8,2.36,108.7,38,48,14,0,0,0,0,0,1.077791555,0
B1,0,1,1,0,2,2,5.51,83.9,0,0,0,9,66,25,0,0,0,5.026525695
B2,0,1.5,1.5,0,3,3,5.34,92,0,0,0,11,57,32,0,0,0,5.753935554
B3,0,2,2,0,4,4,5.01,99.6,0,0,0,20,49,30,0,0,0,6.333025531
C1,2,1,3,4,2,6,4.07,106.7,6,10,5,16,37,16,7,3,0.855443724,5.026525695
C2,2,1.5,3.5,4,3,7,3.94,101.3,4,8,4,21,30,22,7,4,0.855443724,5.753935554
C3,2,2,4,4,4,8,3.77,96,2,5,3,25,35,20,6,4,0.855443724,6.333025531
C4,2.5,1,3.5,5,2,7,3.72,93.1,6,14,7,16,38,9,7,4,0.921498817,5.026525695
C5,2.5,1.5,4,5,3,8,3.3,90.4,5,11,5,21,33,15,6,4,0.921498817,5.753935554
C6,2.5,2,4.5,5,4,9,3.04,90.4,3,7,4,18,40,20,6,3,0.921498817,6.333025531
C7,3,1,4,6,2,8,3.38,87.1,12,16,9,12,33,6,8,4,0.979238615,5.026525695
C8,3,1.5,4.5,6,3,9,3.02,85.4,8,12,4,12,41,10,9,4,0.979238615,5.753935554
C9,3,2,5,6,4,10,2.78,85,5,8,4,26,32,15,8,3,0.979238615,6.333025531
C10,3.5,1,4.5,7,2,9,2.88,76.5,14,17,7,10,36,4,9,4,1.030870537,5.026525695
C11,3.5,1.5,5,7,3,10,2.59,74.7,10,17,8,16,27,10,8,4,1.030870537,5.753935554
C12,3.5,2,5.5,7,4,11,2.36,74,7,12,8,16,35,11,7,4,1.030870537,6.333025531
C13,4,1,5,8,2,10,2.53,71,16,23,6,8,33,1,8,5,1.077791555,5.026525695
C14,4,1.5,5.5,8,3,11,2.31,69,10,13,6,14,37,8,8,4,1.077791555,5.753935554
C15,4,2,6,8,4,12,2.15,67.1,7,10,5,16,37,11,10,4,1.077791555,6.333025531
